code,label
"func1 ( png_structp var1 , 
png_infop var2 , png_const_unknown_chunkp var3 , int var4 ) 
{ 
png_unknown_chunkp var5 ; 
int var6 ; 
if ( var1 == var7 || var2 == var7 || var4 == number ) 
return ; 
var5 = ( png_unknown_chunkp ) func2 ( var1 , 
( png_size_t ) ( var2 -> var8 + var4 ) * 
func3 ( var9 ) ) ; 
if ( var5 == var7 ) 
{ 
func4 ( var1 , 
str ) ; 
return ; 
} 
func5 ( var5 , var2 -> var10 , 
( png_size_t ) var2 -> var8 * 
func3 ( var9 ) ) ; 
func6 ( var1 , var2 -> var10 ) ; 
var2 -> var10 = var7 ; 
for ( var6 = number ; var6 < var4 ; var6 ++ ) 
{ 
png_unknown_chunkp var11 = var5 + var2 -> var8 + var6 ; 
png_const_unknown_chunkp var12 = var3 + var6 ; 
func5 ( var11 -> var13 , var12 -> var13 , func3 ( var12 -> var13 ) ) ; 
var11 -> var13 [ func3 ( var11 -> var13 ) - number ] = str ; 
var11 -> var14 = var12 -> var14 ; 
var11 -> var15 = ( png_byte ) ( var1 -> var16 & number ) ; 
if ( var12 -> var14 == number ) 
var11 -> var17 = var7 ; 
else 
{ 
var11 -> var17 = ( png_bytep ) func2 ( var1 , 
( png_size_t ) var12 -> var14 ) ; 
if ( var11 -> var17 == var7 ) 
{ 
func4 ( var1 , 
str ) ; 
var11 -> var14 = number ; 
} 
else 
func5 ( var11 -> var17 , var12 -> var17 , var12 -> var14 ) ; 
} 
} 
var2 -> var10 = var5 ; 
var2 -> var8 += var4 ; 
var2 -> var18 |= var19 ; 
} 
",1
"func1 ( png_structp var1 , png_infop var2 , png_uint_32 var3 ) 
{ 
png_byte var4 [ number ] ; 
png_fixed_point var5 , var6 , var7 , var8 , var9 , var10 , var11 , 
var12 ; 
func2 ( number , str ) ; 
if ( ! ( var1 -> var13 & var14 ) ) 
func3 ( var1 , str ) ; 
else if ( var1 -> var13 & var15 ) 
{ 
func4 ( var1 , str ) ; 
func5 ( var1 , var3 ) ; 
return ; 
} 
else if ( var1 -> var13 & var16 ) 
func4 ( var1 , str ) ; 
if ( var2 != var17 && ( var2 -> var18 & PNG_INFO_cHRM ) 
&& ! ( var2 -> var18 & var19 ) 
) 
{ 
func4 ( var1 , str ) ; 
func5 ( var1 , var3 ) ; 
return ; 
} 
if ( var3 != number ) 
{ 
func4 ( var1 , str ) ; 
func5 ( var1 , var3 ) ; 
return ; 
} 
func6 ( var1 , var4 , number ) ; 
if ( func5 ( var1 , number ) ) 
return ; 
var5 = func7 ( var17 , var4 ) ; 
var6 = func7 ( var17 , var4 + number ) ; 
var7 = func7 ( var17 , var4 + number ) ; 
var8 = func7 ( var17 , var4 + number ) ; 
var9 = func7 ( var17 , var4 + number ) ; 
var10 = func7 ( var17 , var4 + number ) ; 
var11 = func7 ( var17 , var4 + number ) ; 
var12 = func7 ( var17 , var4 + number ) ; 
if ( var5 == var20 || 
var6 == var20 || 
var7 == var20 || 
var8 == var20 || 
var9 == var20 || 
var10 == var20 || 
var11 == var20 || 
var12 == var20 ) 
{ 
func4 ( var1 , str ) ; 
return ; 
} 
if ( ( var2 != var17 ) && ( var2 -> var18 & var19 ) ) 
{ 
if ( func8 ( var5 , number , number ) || 
func8 ( var6 , number , number ) || 
func8 ( var7 , number , number ) || 
func8 ( var8 , number , number ) || 
func8 ( var9 , number , number ) || 
func8 ( var10 , number , number ) || 
func8 ( var11 , number , number ) || 
func8 ( var12 , number , number ) ) 
{ 
PNG_WARNING_PARAMETERS ( var21 ) 
func9 ( var21 , number , var22 , var5 ) ; 
func9 ( var21 , number , var22 , var6 ) ; 
func9 ( var21 , number , var22 , var7 ) ; 
func9 ( var21 , number , var22 , var8 ) ; 
func9 ( var21 , number , var22 , var9 ) ; 
func9 ( var21 , number , var22 , var10 ) ; 
func9 ( var21 , number , var22 , var11 ) ; 
func9 ( var21 , number , var22 , var12 ) ; 
png_formatted_warning ( var1 , var21 , 
str 
str ) ; 
} 
return ; 
} 
if ( ( var1 -> var23 & var24 ) == number ) 
{ 
if ( var8 <= ( number << number ) && var10 <= ( number << number ) && var12 <= ( number << number ) ) 
{ 
png_uint_32 var25 = var8 + var10 + var12 ; 
var1 -> var26 = ( png_uint_16 ) ( ( ( png_uint_32 ) var8 * 
number ) / var25 ) ; 
var1 -> var27 = ( png_uint_16 ) ( ( ( png_uint_32 ) var10 
* number ) / var25 ) ; 
var1 -> var28 = ( png_uint_16 ) ( ( ( png_uint_32 ) var12 * 
number ) / var25 ) ; 
} 
} 
func10 ( var1 , var2 , var5 , var6 , var7 , var8 , 
var9 , var10 , var11 , var12 ) ; 
} 
",1
"func1 ( png_structp var1 , png_infop var2 , png_uint_32 var3 ) 
{ 
int var4 , var5 ; 
func2 ( number , str ) ; 
if ( ! ( var1 -> var6 & var7 ) ) 
func3 ( var1 , str ) ; 
else if ( var1 -> var6 & var8 ) 
{ 
func4 ( var1 , str ) ; 
func5 ( var1 , var3 ) ; 
return ; 
} 
else if ( ! ( var1 -> var6 & var9 ) ) 
{ 
func4 ( var1 , str ) ; 
func5 ( var1 , var3 ) ; 
return ; 
} 
else if ( var2 != var10 && var2 -> var11 & var12 ) 
{ 
func4 ( var1 , str ) ; 
func5 ( var1 , var3 ) ; 
return ; 
} 
if ( var3 != ( png_uint_32 ) ( number * var1 -> var13 ) ) 
{ 
func4 ( var1 , str ) ; 
func5 ( var1 , var3 ) ; 
return ; 
} 
var4 = ( int ) var3 / number ; 
var1 -> var14 = ( png_uint_16p ) func6 ( var1 , 
( png_uint_32 ) ( var4 * sizeof ( png_uint_16 ) ) ) ; 
var1 -> var15 |= var16 ; 
for ( var5 = number ; var5 < var4 ; var5 ++ ) 
{ 
png_byte var17 [ number ] ; 
func7 ( var1 , var17 , number ) ; 
var1 -> var14 [ var5 ] = func8 ( var17 ) ; 
} 
if ( func5 ( var1 , number ) ) 
return ; 
func9 ( var1 , var2 , var1 -> var14 ) ; 
} 
",1
"func1 ( png_structp var1 , png_infop var2 , 
png_const_textp var3 , int var4 ) 
{ 
int var5 ; 
func2 ( number , str , ( ( var1 == var6 || 
var1 -> var7 [ number ] == str ) ? 
str : ( png_const_charp ) var1 -> var7 ) ) ; 
if ( var1 == var6 || var2 == var6 || var4 == number ) 
return ( number ) ; 
if ( var2 -> var4 + var4 > var2 -> var9 ) 
{ 
if ( var2 -> var8 != var6 ) 
{ 
png_textp var10 ; 
int var11 ; 
var11 = var2 -> var9 ; 
var2 -> var9 = var2 -> var4 + var4 + number ; 
var10 = var2 -> var8 ; 
var2 -> var8 = ( png_textp ) func3 ( var1 , 
( png_size_t ) ( var2 -> var9 * func4 ( var12 ) ) ) ; 
if ( var2 -> var8 == var6 ) 
{ 
func5 ( var1 , var10 ) ; 
return ( number ) ; 
} 
func6 ( var2 -> var8 , var10 , ( png_size_t ) ( var11 * 
func4 ( var12 ) ) ) ; 
func5 ( var1 , var10 ) ; 
} 
else 
{ 
var2 -> var9 = var4 + number ; 
var2 -> var4 = number ; 
var2 -> var8 = ( png_textp ) func3 ( var1 , 
( png_size_t ) ( var2 -> var9 * func4 ( var12 ) ) ) ; 
if ( var2 -> var8 == var6 ) 
return ( number ) ; 
var2 -> var13 |= var14 ; 
} 
func2 ( number , str , 
var2 -> var9 ) ; 
} 
for ( var5 = number ; var5 < var4 ; var5 ++ ) 
{ 
png_size_t var15 , var16 ; 
png_size_t var17 , var18 ; 
png_textp var19 = & ( var2 -> var8 [ var2 -> var4 ] ) ; 
if ( var3 [ var5 ] . var20 == var6 ) 
continue ; 
if ( var3 [ var5 ] . var21 < var22 || 
var3 [ var5 ] . var21 >= var23 ) 
{ 
func7 ( var1 , str ) ; 
continue ; 
} 
var16 = func8 ( var3 [ var5 ] . var20 ) ; 
if ( var3 [ var5 ] . var21 <= number ) 
{ 
var17 = number ; 
var18 = number ; 
} 
else 
{ 
if ( var3 [ var5 ] . var24 != var6 ) 
var17 = func8 ( var3 [ var5 ] . var24 ) ; 
else 
var17 = number ; 
if ( var3 [ var5 ] . var25 != var6 ) 
var18 = func8 ( var3 [ var5 ] . var25 ) ; 
else 
var18 = number ; 
} 
{ 
func7 ( var1 , str ) ; 
continue ; 
} 
if ( var3 [ var5 ] . var8 == var6 || var3 [ var5 ] . var8 [ number ] == str ) 
{ 
var15 = number ; 
if ( var3 [ var5 ] . var21 > number ) 
var19 -> var21 = var26 ; 
else 
var19 -> var21 = var22 ; 
} 
else 
{ 
var15 = func8 ( var3 [ var5 ] . var8 ) ; 
var19 -> var21 = var3 [ var5 ] . var21 ; 
} 
var19 -> var20 = ( png_charp ) func3 ( var1 , 
( png_size_t ) 
( var16 + var15 + var17 + var18 + number ) ) ; 
if ( var19 -> var20 == var6 ) 
return ( number ) ; 
func9 ( number , str , 
( unsigned long ) ( png_uint_32 ) 
( var16 + var17 + var18 + var15 + number ) , 
var19 -> var20 ) ; 
func6 ( var19 -> var20 , var3 [ var5 ] . var20 , ( png_size_t ) ( var16 ) ) ; 
* ( var19 -> var20 + var16 ) = str ; 
if ( var3 [ var5 ] . var21 > number ) 
{ 
var19 -> var24 = var19 -> var20 + var16 + number ; 
func6 ( var19 -> var24 , var3 [ var5 ] . var24 , var17 ) ; 
* ( var19 -> var24 + var17 ) = str ; 
var19 -> var25 = var19 -> var24 + var17 + number ; 
func6 ( var19 -> var25 , var3 [ var5 ] . var25 , var18 ) ; 
* ( var19 -> var25 + var18 ) = str ; 
var19 -> var8 = var19 -> var25 + var18 + number ; 
} 
else 
{ 
var19 -> var24 = var6 ; 
var19 -> var25 = var6 ; 
var19 -> var8 = var19 -> var20 + var16 + number ; 
} 
if ( var15 ) 
func6 ( var19 -> var8 , var3 [ var5 ] . var8 , 
( png_size_t ) ( var15 ) ) ; 
* ( var19 -> var8 + var15 ) = str ; 
if ( var19 -> var21 > number ) 
{ 
var19 -> var15 = number ; 
var19 -> var27 = var15 ; 
} 
else 
{ 
var19 -> var15 = var15 ; 
var19 -> var27 = number ; 
} 
var2 -> var4 ++ ; 
func2 ( number , str , var2 -> var4 ) ; 
} 
return ( number ) ; 
} 
",1
"func1 ( png_structp var1 , png_const_charp var2 , int var3 , 
png_const_charp var4 , int var5 ) 
{ 
var6 ; 
png_size_t var7 ; 
png_charp var8 ; 
compression_state var9 ; 
int var10 = number ; 
func2 ( number , str ) ; 
var9 . var11 = number ; 
var9 . var12 = number ; 
var9 . var13 = var14 ; 
var9 . var15 = var14 ; 
var9 . var16 = number ; 
if ( ( var7 = func3 ( var1 , var2 , & var8 ) ) == number ) 
return ; 
if ( var3 != var17 ) 
func4 ( var1 , str ) ; 
if ( var4 == var14 ) 
var5 = number ; 
if ( var5 > number ) 
var10 = 
( ( * ( ( png_const_bytep ) var4 ) ) << number ) | 
( ( * ( ( png_const_bytep ) var4 + number ) ) << number ) | 
( ( * ( ( png_const_bytep ) var4 + number ) ) << number ) | 
( ( * ( ( png_const_bytep ) var4 + number ) ) ) ; 
if ( var10 < number ) 
{ 
func4 ( var1 , 
str ) ; 
func5 ( var1 , var8 ) ; 
return ; 
} 
if ( var5 < var10 ) 
{ 
func4 ( var1 , 
str ) ; 
func5 ( var1 , var8 ) ; 
return ; 
} 
if ( var5 > var10 ) 
{ 
func4 ( var1 , 
str ) ; 
var5 = var10 ; 
} 
if ( var5 ) 
var5 = func6 ( var1 , var4 , 
( png_size_t ) var5 , var17 , & var9 ) ; 
func7 ( var1 , var18 , 
( png_uint_32 ) ( var7 + var5 + number ) ) ; 
var8 [ var7 + number ] = number ; 
func8 ( var1 , ( png_bytep ) var8 , 
( png_size_t ) ( var7 + number ) ) ; 
if ( var5 ) 
func9 ( var1 , & var9 ) ; 
func10 ( var1 ) ; 
func5 ( var1 , var8 ) ; 
} 
",1
"func1 ( png_structp var1 , png_infop var2 , png_uint_32 var3 ) 
{ 
png_charp var4 , var5 ; 
double var6 , var7 ; 
png_charp var8 ; 
png_charp var9 , var10 ; 
png_size_t var11 ; 
func2 ( number , str ) ; 
if ( ! ( var1 -> var12 & var13 ) ) 
func3 ( var1 , str ) ; 
else if ( var1 -> var12 & var14 ) 
{ 
func4 ( var1 , str ) ; 
func5 ( var1 , var3 ) ; 
return ; 
} 
else if ( var2 != var15 && ( var2 -> var16 & var17 ) ) 
{ 
func4 ( var1 , str ) ; 
func5 ( var1 , var3 ) ; 
return ; 
} 
func6 ( number , str , 
var3 + number ) ; 
var4 = ( png_charp ) func7 ( var1 , var3 + number ) ; 
if ( var4 == var15 ) 
{ 
func4 ( var1 , str ) ; 
return ; 
} 
var11 = ( png_size_t ) var3 ; 
func8 ( var1 , ( png_bytep ) var4 , var11 ) ; 
if ( func5 ( var1 , number ) ) 
{ 
func9 ( var1 , var4 ) ; 
return ; 
} 
var4 [ var11 ] = number ; 
var5 = var4 + number ; 
var6 = strtod ( var5 , & var8 ) ; 
if ( * var8 ) 
{ 
func4 ( var1 , str ) ; 
return ; 
} 
var9 = ( png_charp ) func7 ( var1 , png_strlen ( var5 ) + number ) ; 
if ( var9 == var15 ) 
{ 
func4 ( var1 , str ) ; 
return ; 
} 
png_memcpy ( var9 , var5 , ( png_size_t ) png_strlen ( var5 ) ) ; 
for ( var5 = var4 ; * var5 ; var5 ++ ) 
; 
var5 ++ ; 
var7 = strtod ( var5 , & var8 ) ; 
if ( * var8 ) 
{ 
func4 ( var1 , str ) ; 
return ; 
} 
var10 = ( png_charp ) func7 ( var1 , png_strlen ( var5 ) + number ) ; 
if ( var9 == var15 ) 
{ 
func4 ( var1 , str ) ; 
return ; 
} 
png_memcpy ( var10 , var5 , ( png_size_t ) png_strlen ( var5 ) ) ; 
if ( var4 + var11 < var5 
|| var6 <= number . || var7 <= number . 
) 
{ 
func4 ( var1 , str ) ; 
func9 ( var1 , var4 ) ; 
func9 ( var1 , var9 ) ; 
func9 ( var1 , var10 ) ; 
return ; 
} 
func10 ( var1 , var2 , var4 [ number ] , var6 , var7 ) ; 
png_set_sCAL_s ( var1 , var2 , var4 [ number ] , var9 , var10 ) ; 
func9 ( var1 , var4 ) ; 
func9 ( var1 , var9 ) ; 
func9 ( var1 , var10 ) ; 
} 
",1
"func1 ( png_structrp var1 , png_inforp var2 , 
png_const_colorp var3 , int var4 ) 
{ 
func2 ( number , str , str ) ; 
if ( var1 == var5 || var2 == var5 ) 
return ; 
if ( var4 < number || var4 > var6 ) 
{ 
if ( var2 -> var7 == var8 ) 
func3 ( var1 , str ) ; 
else 
{ 
func4 ( var1 , str ) ; 
return ; 
} 
} 
if ( ( var4 > number && var3 == var5 ) || 
( var4 == number 
&& ( var1 -> mng_features_permitted & PNG_FLAG_MNG_EMPTY_PLTE ) == number 
) ) 
{ 
func3 ( var1 , str ) ; 
return ; 
} 
func5 ( var1 , var2 , var9 , number ) ; 
var1 -> var3 = func6 ( var10 , func7 ( var1 , 
var6 * ( sizeof ( png_color ) ) ) ) ; 
if ( var4 > number ) 
memcpy ( var1 -> var3 , var3 , var4 * ( sizeof ( png_color ) ) ) ; 
var2 -> var3 = var1 -> var3 ; 
var2 -> var4 = var1 -> var4 = ( png_uint_16 ) var4 ; 
var2 -> var11 |= var9 ; 
var2 -> var12 |= var13 ; 
} 
",1
"func1 ( png_const_structrp var1 , png_inforp var2 , 
png_colorp * var3 , int * var4 ) 
{ 
func2 ( number , str , str ) ; 
if ( var1 != var5 && var2 != var5 && ( var2 -> var6 & var7 ) 
&& var3 != var5 ) 
{ 
* var3 = var2 -> var3 ; 
* var4 = var2 -> var4 ; 
func2 ( number , str , * var4 ) ; 
return ( var7 ) ; 
} 
return ( number ) ; 
} 
",1
"func1 ( png_structp var1 , png_infop var2 ) 
{ 
if ( var1 -> var3 && var1 -> var4 ) 
{ 
png_size_t var5 ; 
if ( var1 -> var3 < ( png_uint_32 ) var1 -> var4 ) 
var5 = var1 -> var3 ; 
else 
var5 = var1 -> var4 ; 
func2 ( var1 , ( png_bytep ) var1 -> var6 , var5 ) ; 
var1 -> var4 -= var5 ; 
var1 -> var6 += var5 ; 
} 
if ( ! ( var1 -> var4 ) ) 
{ 
png_textp var7 ; 
png_charp var8 ; 
png_charp var9 ; 
int var10 ; 
png_size_t var5 , var11 ; 
if ( var1 -> var3 < number ) 
{ 
func3 ( var1 ) ; 
return ; 
} 
func4 ( var1 ) ; 
var9 = var1 -> var12 ; 
for ( var8 = var9 ; * var8 ; var8 ++ ) 
; 
if ( var8 >= var9 + var1 -> var13 ) 
{ 
var1 -> var12 = var14 ; 
func5 ( var1 , var9 ) ; 
return ; 
} 
var8 ++ ; 
if ( * var8 != var15 ) 
{ 
var1 -> var12 = var14 ; 
func5 ( var1 , var9 ) ; 
return ; 
} 
var8 ++ ; 
var1 -> var16 . var17 = ( png_bytep ) var8 ; 
var1 -> var16 . var18 = ( uInt ) ( var1 -> var13 - 
( var8 - var9 ) ) ; 
var1 -> var16 . var19 = var1 -> var20 ; 
var1 -> var16 . var21 = ( uInt ) var1 -> var22 ; 
var11 = var8 - var9 ; 
var5 = number ; 
var8 = var14 ; 
var10 = var23 ; 
while ( var1 -> var16 . var18 ) 
{ 
var10 = func6 ( & var1 -> var16 , var24 ) ; 
if ( var10 != var25 && var10 != var23 ) 
{ 
func7 ( & var1 -> var16 ) ; 
var1 -> var16 . var18 = number ; 
var1 -> var12 = var14 ; 
func5 ( var1 , var9 ) ; 
func5 ( var1 , var8 ) ; 
return ; 
} 
if ( ! ( var1 -> var16 . var21 ) || var10 == var23 ) 
{ 
if ( var8 == var14 ) 
{ 
var8 = ( png_charp ) func8 ( var1 , 
( var1 -> var22 
- var1 -> var16 . var21 + var11 + number ) ) ; 
func9 ( var8 + var11 , var1 -> var20 , 
var1 -> var22 - var1 -> var16 . var21 ) ; 
func9 ( var8 , var9 , var11 ) ; 
var5 = var11 + var1 -> var22 - 
var1 -> var16 . var21 ; 
* ( var8 + var5 ) = str ; 
} 
else 
{ 
png_charp var26 ; 
var26 = var8 ; 
var8 = ( png_charp ) func8 ( var1 , var5 + 
( var1 -> var22 
- var1 -> var16 . var21 + number ) ) ; 
func9 ( var8 , var26 , var5 ) ; 
func5 ( var1 , var26 ) ; 
func9 ( var8 + var5 , var1 -> var20 , 
var1 -> var22 - var1 -> var16 . var21 ) ; 
var5 += var1 -> var22 - var1 -> var16 . var21 ; 
* ( var8 + var5 ) = str ; 
} 
if ( var10 != var23 ) 
{ 
var1 -> var16 . var19 = var1 -> var20 ; 
var1 -> var16 . var21 = ( uInt ) var1 -> var22 ; 
} 
} 
else 
{ 
break ; 
} 
if ( var10 == var23 ) 
break ; 
} 
func7 ( & var1 -> var16 ) ; 
var1 -> var16 . var18 = number ; 
if ( var10 != var23 ) 
{ 
var1 -> var12 = var14 ; 
func5 ( var1 , var9 ) ; 
func5 ( var1 , var8 ) ; 
return ; 
} 
var1 -> var12 = var14 ; 
func5 ( var1 , var9 ) ; 
var9 = var8 ; 
var8 += var11 ; 
var7 = ( png_textp ) func8 ( var1 , 
func10 ( var27 ) ) ; 
var7 -> var28 = var15 ; 
var7 -> var9 = var9 ; 
var7 -> var29 = number ; 
var7 -> var30 = var14 ; 
var7 -> var31 = var14 ; 
var7 -> var8 = var8 ; 
var10 = func11 ( var1 , var2 , var7 , number ) ; 
func5 ( var1 , var9 ) ; 
func5 ( var1 , var7 ) ; 
if ( var10 ) 
func12 ( var1 , str ) ; 
} 
} 
",1
"func1 ( png_structrp func2 , png_bytep var1 , png_bytep var2 ) 
{ 
png_row_info var3 ; 
if ( func2 == var4 ) 
return ; 
func3 ( number , str , 
( unsigned long ) func2 -> var6 , func2 -> var5 ) ; 
if ( ! ( func2 -> var7 & var8 ) ) 
func4 ( func2 ) ; 
var3 . var9 = func2 -> var10 ; 
var3 . var11 = func2 -> var11 ; 
var3 . var12 = func2 -> var12 ; 
var3 . var13 = func2 -> var13 ; 
var3 . var14 = func2 -> var14 ; 
var3 . var15 = func5 ( var3 . var14 , var3 . var9 ) ; 
if ( func2 -> var6 == number && func2 -> var5 == number ) 
{ 
if ( func2 -> var16 & var17 ) 
func6 ( func2 , str ) ; 
if ( func2 -> var16 & var18 ) 
func6 ( func2 , str ) ; 
! defined ( PNG_READ_PACKSWAP_SUPPORTED ) 
if ( func2 -> var16 & var19 ) 
func6 ( func2 , str ) ; 
if ( func2 -> var16 & var20 ) 
func6 ( func2 , str ) ; 
if ( func2 -> var16 & var21 ) 
func6 ( func2 , str ) ; 
if ( func2 -> var16 & var22 ) 
func6 ( func2 , str ) ; 
if ( func2 -> var16 & var23 ) 
func6 ( func2 , str ) ; 
} 
if ( func2 -> var24 && ( func2 -> var16 & var25 ) ) 
{ 
switch ( func2 -> var5 ) 
{ 
case number : 
if ( func2 -> var6 & number ) 
{ 
if ( var2 != var4 ) 
func7 ( func2 , var2 , number ; 
func8 ( func2 ) ; 
return ; 
} 
break ; 
case number : 
if ( ( func2 -> var6 & number ) || func2 -> var9 < number ) 
{ 
if ( var2 != var4 ) 
func7 ( func2 , var2 , number ; 
func8 ( func2 ) ; 
return ; 
} 
break ; 
case number : 
if ( ( func2 -> var6 & number ) != number ) 
{ 
if ( var2 != var4 && ( func2 -> var6 & number ) ) 
func7 ( func2 , var2 , number ; 
func8 ( func2 ) ; 
return ; 
} 
break ; 
case number : 
if ( ( func2 -> var6 & number ) || func2 -> var9 < number ) 
{ 
if ( var2 != var4 ) 
func7 ( func2 , var2 , number ; 
func8 ( func2 ) ; 
return ; 
} 
break ; 
case number : 
if ( ( func2 -> var6 & number ) != number ) 
{ 
if ( var2 != var4 && ( func2 -> var6 & number ) ) 
func7 ( func2 , var2 , number ; 
func8 ( func2 ) ; 
return ; 
} 
break ; 
case number : 
if ( ( func2 -> var6 & number ) || func2 -> var9 < number ) 
{ 
if ( var2 != var4 ) 
func7 ( func2 , var2 , number ; 
func8 ( func2 ) ; 
return ; 
} 
break ; 
var26 : 
case number : 
if ( ! ( func2 -> var6 & number ) ) 
{ 
func8 ( func2 ) ; 
return ; 
} 
break ; 
} 
} 
if ( ! ( func2 -> var27 & var28 ) ) 
func9 ( func2 , str ) ; 
func10 ( func2 , func2 -> var29 , var3 . var15 + number ) ; 
if ( func2 -> var29 [ number ] > var30 ) 
{ 
if ( func2 -> var29 [ number ] < var31 ) 
func11 ( func2 , & var3 , func2 -> var29 + number , 
func2 -> var32 + number , func2 -> var29 [ number ] ) ; 
else 
func9 ( func2 , str ) ; 
} 
memcpy ( func2 -> var32 , func2 -> var29 , var3 . var15 + number ) ; 
if ( ( func2 -> var33 & var34 ) && 
( func2 -> var35 == var36 ) ) 
{ 
func12 ( & var3 , func2 -> var29 + number ) ; 
} 
if ( func2 -> var16 ) 
func13 ( func2 , & var3 ) ; 
if ( func2 -> var37 == number ) 
{ 
func2 -> var37 = var3 . var14 ; 
if ( var3 . var14 > func2 -> var38 ) 
func9 ( func2 , str ) ; 
} 
else if ( func2 -> var37 != var3 . var14 ) 
func9 ( func2 , str ) ; 
if ( func2 -> var24 && 
( func2 -> var16 & var25 ) ) 
{ 
if ( func2 -> var5 < number ) 
func14 ( & var3 , func2 -> var29 + number , func2 -> var5 , 
func2 -> var16 ) ; 
if ( var2 != var4 ) 
func7 ( func2 , var2 , number ; 
if ( var1 != var4 ) 
func7 ( func2 , var1 , number ; 
} 
else 
{ 
if ( var1 != var4 ) 
func7 ( func2 , var1 , - number ; 
if ( var2 != var4 ) 
func7 ( func2 , var2 , - number ; 
} 
func8 ( func2 ) ; 
if ( func2 -> func15 != var4 ) 
( * ( func2 -> func15 ) ) ( func2 , func2 -> var6 , func2 -> var5 ) ; 
} 
",1
